"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"101","","Jordan Reed","WAS","TE10","4","99","113","105.3","5.8","84.0","-17.0"
"102","","Will Fuller","HOU","WR44","10","83","141","107.3","24.6","75.0","-27.0"
"103","","Patrick Mahomes","KC","QB13","12","101","119","107.7","8.1","114.0","+11.0"
"104","","Jimmy Garoppolo","SF","QB14","11","92","118","108.0","11.4","101.0","-3.0"
"105","","Alex Smith","WAS","QB15","4","101","127","111.7","11.1","130.0","+25.0"
"106","","Jordy Nelson","OAK","WR45","7","85","167","112.3","38.7","90.0","-16.0"
"107","","Matt Ryan","ATL","QB16","8","102","118","112.3","7.3","104.0","-3.0"
"108","","Ty Montgomery","GB","RB37","7","76","140","113.0","27.1","121.0","+13.0"
"109","","James White","NE","RB38","11","94","130","113.3","14.8","111.0","+2.0"
"110","","Duke Johnson","CLE","RB39","11","92","139","114.3","19.3","83.0","-27.0"
"111","","Rishard Matthews","TEN","WR46","8","96","134","114.3","15.5","164.0","+53.0"
"112","","Julian Edelman","NE ","WR47","11","57","195","116.0","58.1","69.0","-43.0"
"113","","Chris Carson","SEA","RB40","7","89","159","117.7","29.9","92.0","-21.0"
"114","","Marcus Mariota","TEN","QB17","8","100","144","118.3","18.7","129.0","+15.0"
"115","","Devante Parker","MIA","WR48","11","103","139","122.7","14.9","116.0","+1.0"
"116","","D.J. Moore","CAR","WR49","4","104","134","123.0","13.5","125.0","+9.0"
"117","","Dede Westbrook","JAC","WR50","9","91","153","124.0","25.5","175.0","+58.0"
"118","","Tyrell Williams","LAC","WR51","8","108","136","125.0","12.2","204.0","+86.0"
"119","","Jared Goff","LAR","QB18","12","122","128","125.0","2.4","115.0","-4.0"
"120","","Mike Williams","LAC","WR52","8","110","156","125.3","21.7","128.0","+8.0"
"121","","Kenny Golladay","DET","WR53","6","111","149","126.7","16.2","139.0","+18.0"
"122","","John Brown","BAL","WR54","10","119","141","127.3","9.7","158.0","+36.0"
"123","","Allen Hurns","DAL","WR55","8","99","177","127.7","35.0","119.0","-4.0"
"124","","Giovani Bernard","CIN","RB41","9","115","137","128.3","9.6","131.0","+7.0"
